date,firstDose.daily.sinovac,firstDose.daily.biontech,firstDose.daily.total,firstDose.cumulative.sinovac,firstDose.cumulative.biontech,firstDose.cumulative.total,secondDose.daily.sinovac,secondDose.daily.biontech,secondDose.daily.total,secondDose.cumulative.sinovac,secondDose.cumulative.biontech,secondDose.cumulative.total,firstDose.movingAvg.sinovac,firstDose.movingAvg.total,firstDose.movingAvg.biontech,secondDose.movingAvg.sinovac,secondDose.movingAvg.total,secondDose.movingAvg.biontech,totalDose
22/2/2021,46,0,46,46,0,46,0,0,0,0,0,0,,,,,,,46
23/2/2021,532,0,532,578,0,578,0,0,0,0,0,0,,,,,,,578
24/2/2021,0,0,0,578,0,578,0,0,0,0,0,0,,,,,,,578
25/2/2021,0,0,0,578,0,578,0,0,0,0,0,0,,,,,,,578
26/2/2021,6066,0,6066,6644,0,6644,0,0,0,0,0,0,,,,,,,6644
27/2/2021,7039,0,7039,13683,0,13683,0,0,0,0,0,0,,,,,,,13683
28/2/2021,7016,0,7016,20699,0,20699,0,0,0,0,0,0,,,,,,,20699
1/3/2021,6408,0,6408,27107,0,27107,0,0,0,0,0,0,,,,,,,27107
2/3/2021,13066,0,13066,40173,0,40173,0,0,0,0,0,0,,,,,,,40173
3/3/2021,11664,0,11664,51837,0,51837,2,0,2,2,0,2,,,,,,,51839
4/3/2021,10388,0,10388,62225,0,62225,0,0,0,2,0,2,8807,8807,,,,,62227
5/3/2021,10137,0,10137,72362,0,72362,0,0,0,2,0,2,9388,9388,,,,,72364
6/3/2021,11313,336,11649,83675,336,84011,1,0,1,3,0,3,9999,10047,,,,,84014
7/3/2021,8123,871,8994,91798,1207,93005,1,0,1,4,0,4,10157,10329,,,,,93009
8/3/2021,9900,923,10823,101698,2130,103828,0,0,0,4,0,4,10656,10960,,,,,103832
9/3/2021,8795,878,9673,110493,3008,113501,1,0,1,5,0,5,10046,10475,,,,,113506
10/3/2021,11003,6020,17023,121496,9028,130524,1,0,1,6,0,6,9951,11241,,,,,130530
11/3/2021,9598,5763,15361,131094,14791,145885,0,0,0,6,0,6,9838,11951,,,,,145891
12/3/2021,9595,6728,16323,140689,21519,162208,0,0,0,6,0,6,9761,12835,,,,,162214
13/3/2021,8555,6322,14877,149244,27841,177085,1,0,1,7,0,7,9367,13296,,,,,177092
14/3/2021,7939,5678,13617,157183,33519,190702,0,0,0,7,0,7,9341,13957,,,,,190709
15/3/2021,8966,6397,15363,166149,39916,206065,0,0,0,7,0,7,9207,14605,,,,,206072
16/3/2021,10227,13098,23325,176376,53014,229390,0,0,0,7,0,7,9412,16556,7144,,,,229397
17/3/2021,13246,11352,24598,189622,64366,253988,0,0,0,7,0,7,9732,17638,7905,,,,253995
18/3/2021,11849,10778,22627,201471,75144,276615,0,0,0,7,0,7,10054,18676,8622,,,,276622
19/3/2021,11796,15810,27606,213267,90954,304221,0,0,0,7,0,7,10368,20288,9919,,,,304228
20/3/2021,11322,15043,26365,224589,105997,330586,0,0,0,7,0,7,10764,21929,11165,,,,330593
21/3/2021,9084,14737,23821,233673,120734,354407,0,0,0,7,0,7,10927,23386,12459,,,,354414
22/3/2021,10126,15084,25210,243799,135818,379617,42,1,43,49,1,50,11093,24793,13700,,,,379667
23/3/2021,9017,14422,23439,252816,150240,403056,394,0,394,443,1,444,10920,24809,13889,,,,403500
